title,year,duration,country,avg_vote,votes
Jane White Is Sick & Twisted,2002,84,USA,3.5,389
The Jimmy Show,2001,96,USA,5.2,525
The Other Brother,2002,94,USA,4.9,123
Sleepwalk,2000,98,USA,6.2,146
R.S.V.P.,2002,100,USA,5.2,1072
Tadpole,2002,78,USA,6.1,5679
Otto notti di follie,2002,76,USA,5.4,21191
Falsa identità,2001,94,USA,4.4,175
Arac Attack - Mostri a otto zampe,2002,99,USA,5.4,51992
Crooked Lines,2003,90,USA,5.1,106
Happy Here and Now,2002,89,USA,5,307
Joshua,2002,91,USA,6.7,1769
National Security - Sei in buone mani,2003,88,USA,5.6,46994
Peak Experience,2003,108,USA,3.4,102
Southside,2002,106,USA,5.6,199
Suspended Animation,2001,114,USA,5.3,497
Thugs,1998,83,USA,3.8,538
Time X - Fuori tempo massimo,2002,101,USA,5.9,1340
Bad Karma,2001,92,USA,3.4,617
Il castello,2001,131,USA,7,69830
Deep Freeze,2002,80,USA,2.8,670
Demonicus,2001,72,USA,2.5,307
Gallavants,1984,100,USA,6.2,114
Monkey Love,2002,96,USA,4.7,206
Mysterious Planet,1982,71,USA,3.2,163
Oliver Twist,1974,91,USA,6.4,149
Ubriaco d'amore,2002,95,USA,7.3,144254
Contagion,2002,95,USA,4,668
Jacked,2001,96,USA,6.1,204
The Mesmerist,2002,95,USA,5.1,222
13th Child,2002,99,USA,2.9,775
30 Years to Life,2001,110,USA,5.9,254
Jon Good's Wife,2001,82,USA,3.8,124
Broken Dolls,1999,81,USA,3.8,139
Desecration,1999,88,USA,4.1,473
Focus,2001,98,USA,6.4,120
Freez'er,2001,83,USA,4.7,112
Haiku Tunnel,2001,88,USA,6.2,1274
Killer Me,2001,80,USA,4.6,279
Bark!,2002,94,USA,5,687
Beauty Betrayed,2002,98,USA,4.6,137
Choosing Matthias,2001,90,USA,5.5,107
Festival in Cannes,2001,100,USA,5.8,568
Mockingbird Don't Sing,2001,98,USA,6.5,1747
The Nostril Picker,1993,76,USA,3.4,425
Orange County,2002,82,USA,6.2,46547
Poolhall Junkies,2002,99,USA,6.9,9536
Quiet Kill,2004,82,USA,3.5,180
Vampire Junction,2001,94,USA,2.6,174
Down Time,2001,90,USA,2.2,351
From Venus,2005,88,USA,5.1,648
Sotto copertura: come agire dietro le linee nemiche,1943,62,USA,6,282
Nothing So Strange,2002,82,USA,5.9,111
Made-Up,2002,96,USA,6,155
Passing Stones,2001,90,USA,6.9,136
Secretary,2002,107,USA,7,81824
Crossroads - Le strade della vita,2002,93,USA,3.5,38047
Wendigo,2001,91,USA,5,3921
The 4th Tenor,2002,97,USA,5.3,317
Acts of Worship,2001,94,USA,6.3,288
The Bros.,2007,91,USA,3.2,229
A Month of Sundays,2001,92,USA,5.9,129
Satan Was a Lady,2001,80,USA,4.6,100
Snipes,2001,113,USA,5.5,346
Sol Goode,2003,99,USA,5.4,1122
Tape,2001,86,USA,7.3,18519
"Vegas, City of Dreams",2001,93,USA,5.5,108
Lilo & Stitch,2002,85,USA,7.2,163741
Boys on the Run,2003,97,USA,5,161
I Mattacchiorsi,2002,88,USA,4.1,4996
Horse Crazy,2001,84,USA,5.9,217
Ode,1999,48,USA,6.7,136
Virgil Bliss,2001,93,USA,5.8,224
Wrong Way,1972,78,USA,3,158
13 Moons,2002,93,USA,5.8,1164
Gioco di potere,2001,95,USA,5.2,675
Threat of Exposure,2002,90,USA,3.9,141
Gang Tapes,2001,91,USA,6.1,1023
Mi chiamo Sam,2001,132,USA,7.7,141155
Ho incontrato Jimi Hendrix,2003,90,USA,6.4,218
Never Get Outta the Boat,2002,97,USA,7.1,175
The Profit,2001,128,USA,7,464
Non è un'altra stupida commedia americana,2001,89,USA,5.7,95477
Unspeakable,2002,108,USA,3.5,1209
Undermind,2003,108,USA,5.7,382
Bug,2002,86,USA,7,1082
Final,2001,111,USA,5.9,1255
Landspeed - Massima velocità,2002,94,USA,4,439
The Last Leprechaun,1998,93,USA,3.6,331
Mickey,2004,105,USA,6.6,419
Mutant Aliens,2001,81,USA,6.8,1028
Panic,2002,91,USA,3.6,715
Rats,2003,92,USA,3.5,985
Sheffey,1977,137,USA,6.8,241
Southlander: Diary of a Desperate Musician,2001,80,USA,6.2,173
Serialkiller.com,2002,96,USA,2.7,2082
Clover Bend,2002,89,USA,4.9,119
Buttleman,2003,94,USA,5.1,145
Via dall'incubo,2002,115,USA,5.8,38833
Due sballati al college,2001,93,USA,6.3,52647
Hollywood Ending,2002,112,USA,6.6,25458
EvenHand,2002,92,USA,7.2,451
Gods and Generals,2003,219,USA,6.4,15189
Heaven's Neighbors,2005,115,USA,7,503
Justine: In the Heat of Passion,1996,89,USA,4.7,104
On the Line,2001,85,USA,4.2,3955
She's No Angel,2002,90,USA,5.3,255
Time of Fear,2002,88,USA,4.6,191
Undercover Brother,2002,86,USA,5.8,33080
Above & Beyond,2001,91,USA,4.5,151
Beyond the Wall of Sleep,2006,84,USA,2.8,1047
The Calling,2002,116,USA,4.9,174
Outta Time,2002,94,USA,4.3,223
I sublimi segreti delle Ya-Ya Sisters,2002,116,USA,6.1,17846
Sorority Boys,2002,93,USA,5.5,13631
Joe Somebody,2001,98,USA,5.5,9857
Treasure Island,1973,87,USA,6.1,124
Amy's O - Finalmente l'amore,2001,87,USA,5.2,1669
Ash Wednesday,2002,99,USA,5.9,2917
Ball in the House,2001,95,USA,5.7,381
Due amiche esplosive,2002,98,USA,5.6,14272
Better Luck Tomorrow,2002,101,USA,7,8978
Mr. Deeds,2002,96,USA,5.8,133994
Soldifacili.com,2002,105,USA,5.6,3019
Igby Goes Down,2002,98,USA,6.9,31680
The Journey of Jared Price,2000,95,USA,6.2,1993
Mole,2001,81,USA,4.5,103
Smokin' Stogies,2001,98,USA,3.7,149
I passi dell'amore,2002,101,USA,7.4,196585
"The Bread, My Sweet",2001,105,USA,6.6,869
Bubba Ho-tep - Il re è qui,2002,92,USA,7,44997
Dirt Boy,2001,90,USA,4.5,120
Disaster,2003,90,USA,2.2,225
"Frank McKlusky, C.I.",2002,83,USA,4.2,1319
Go for Broke,2002,94,USA,5.4,117
La famiglia della giungla,2002,85,USA,5.6,13880
Shredder,2001,86,USA,4.6,1555
Straightman,1999,101,USA,4.7,218
Blood Feast 2: All U Can Eat,2002,92,USA,5.7,1306
Chance,2002,75,USA,6.9,1156
A Touch of Fate,2003,101,USA,5.8,194
Bats - Mostriciattoli,2002,94,USA,3.3,645
"Mafioso: The Father, the Son",2001,104,USA,4.7,250
Girl for Girl,2001,87,USA,5,129
Amore e odio a New York,2003,93,USA,6.3,373
Wildfire - Tempesta di fuoco,2002,91,USA,3.4,249
Kung Phooey!,2003,87,USA,5.3,538
Una vita quasi perfetta,2002,103,USA,5.8,22866
Manfast,2003,95,USA,3.5,231
Due vite spezzate,2003,105,USA,6.4,1411
The Scoundrel's Wife,2002,95,USA,5.9,374
Shadow Glories,2001,109,USA,4.6,114
Spun,2002,101,USA,6.8,36481
Swimfan - La piscina della paura,2002,85,USA,5.1,18771
Tuck everlasting: Vivere per sempre,2002,90,USA,6.6,20831
La grande sfida,2002,93,USA,4.7,1684
White Oleander,2002,109,USA,7.1,29272
Il maggiordomo del castello,2001,91,USA,5.2,773
Down and Out with the Dolls,2001,88,USA,6.6,146
Ever Since the World Ended,2001,78,USA,5,683
Kaaterskill Falls,2001,86,USA,4.5,213
The Long Ride Home,2003,87,USA,5.1,275
Lost Junction,2003,95,USA,5.6,1127
Martin & Orloff,2002,87,USA,6.6,811
Brooklyn Rules,2007,99,USA,6.3,5441
Il club degli imperatori,2002,109,USA,6.9,16386
Terminal Error,2002,90,USA,4,474
Pressure - Incubo senza fine,2002,90,USA,5.8,949
The Rose Technique,2002,97,USA,4.3,180
West of Here,2002,79,USA,5.4,123
Blue Hill Avenue,2001,128,USA,6.4,1242
Boys to Men,2001,75,USA,6.2,385
L'amore a tredici anni,2002,102,USA,6.7,519
The Climb,2002,98,USA,5.9,644
Dead Above Ground,2002,90,USA,3.2,346
Fish Don't Blink,2002,89,USA,5.1,306
Full Ride,2002,95,USA,5.7,261
The Keyman,2001,90,USA,5.1,109
Lay It Down,2001,50,USA,4.7,126
Mother Ghost,2002,76,USA,6.2,312
Sally,2000,79,USA,4.6,202
Charlotte Sometimes,2002,85,USA,6.5,1024
Skins,2002,84,USA,7.1,1346
Pauly Shore Is Dead,2003,82,USA,4.4,4532
Charlie Chaplin Carnival,1938,100,USA,6.8,126
The Chaplin Cavalcade,1941,75,USA,7.1,175
The Charlie Chaplin Festival,1941,96,USA,7.1,266
Askari,2001,85,USA,4.8,151
The Anarchist Cookbook,2002,101,USA,5.1,1329
Biohazardous,2001,95,USA,3.5,197
Coastlines,2002,110,USA,5.8,575
Cypher,2002,95,USA,6.8,29815
Farewell to Harry,2002,103,USA,6.5,147
Una vita difficile,1994,83,USA,5.1,150
Jericho,2000,101,USA,6.1,395
Life's a Beach,2012,100,USA,3.7,226
A Light in the Forest,2003,95,USA,4.3,136
Asylum Days,2001,100,USA,3.8,134
Crazy as Hell,2002,113,USA,6,981
Crypt of Dark Secrets,1976,71,USA,4.4,150
Dunsmore,2003,89,USA,6.5,194
Irish Eyes - Vendetta di sangue,2004,112,USA,4.8,249
Looking Through Lillian,2001,98,USA,5.1,259
Alchemy,2005,86,USA,5.4,516
Maniacts,2001,92,USA,5.5,295
"Milwaukee, Minnesota",2003,95,USA,6.3,652
Dahmer - Il cannibale di Milwaukee,2002,101,USA,5.6,9363
Monster's Ball - L'ombra della vita,2001,111,USA,7,81502
Trois 2 - Una relazione ambigua,2002,103,USA,4.9,629
Passionada,2002,108,USA,6.1,1271
Reality Check,2002,88,USA,3.1,225
Killer in the Dark,2001,88,USA,4.1,131
Drawing Blood,1999,90,USA,4.9,182
Signs,2002,106,USA,6.7,331801
Gli occhi dell'innocenza,2002,90,USA,4.7,222
Crime Party,2002,101,USA,6.3,4753
L'ultima estate,2002,91,USA,6.5,2616
La costa del sole,2002,141,USA,6.7,3828
Thérèse: The Story of Saint Thérèse of Lisieux,2004,96,USA,6.3,483
Reasonable Doubt,2001,91,USA,3,117
The Badge,2002,103,USA,6.1,3140
Hulk,2003,138,USA,5.6,248768
Just Looking,1995,84,USA,5.1,163
Now You Know,2002,102,USA,6.6,1556
Bancopaz,2003,95,USA,6,6219
A Tale of Two Critters,1977,48,USA,6.4,115
Treading Water,2001,94,USA,5.6,401
Under Surveillance,2006,89,USA,4.2,141
Vacuums,2003,91,USA,5.2,161
Wake Up and Smell the Coffee,2001,76,USA,6.8,144
Contratto con la morte,2002,104,USA,6,1762
Infested - Lo sciame,2002,84,USA,2.8,1210
Spy Kids 2 - L'isola dei sogni perduti,2002,100,USA,5.2,59287
Straight Into Darkness,2004,95,USA,5,1269
Hatred of a Minute,2002,83,USA,4,257
Return to Innocence,2001,110,USA,6,794
Shadow Fury,2001,89,USA,3.7,305
Taboo,2002,80,USA,3.6,1778
Tangy Guacamole,2003,89,USA,1.4,392
The Year That Trembled,2002,104,USA,4.8,182
A Family Affair,2001,107,USA,5.1,290
Suicide Blonde,1999,93,USA,5.4,117
Guardian,2001,89,USA,3.9,485
Le superchicche - Il film,2002,73,USA,6.6,9102
Malevolent,2002,95,USA,5.3,512
Whacked!,2002,91,USA,5.9,469
Scared,2002,90,USA,2.9,268
Un boss sotto stress,2002,96,USA,5.9,81387
Dark Carnival,1993,90,USA,2.1,162
Mi presenti i tuoi?,2004,115,USA,6.3,249128
Oltre la legge,2002,90,USA,4.4,361
Platinum Blonde,2001,90,USA,4.5,108
Survivors Exposed,2001,93,USA,3.2,255
Lo smoking,2002,98,USA,5.4,78085
Blue Car,2002,96,USA,6.5,3367
Full Frontal,2002,101,USA,4.7,9402
Illusion,2004,106,USA,7,395
New Suit,2002,94,USA,5.8,360
The Wash,2001,96,USA,4.8,6559
By Hook or by Crook,2001,98,USA,5.7,264
Malpractice,2001,90,USA,4.8,225
Planet of the Pitts,2004,112,USA,4.3,115
Tail Sting - La coda dello scorpione,2001,93,USA,2.3,587
Angel Blade,2002,95,USA,3.3,204
Instinct to Kill,2001,90,USA,4.8,627
Pleasures of Sin,2001,84,USA,3.8,124
Wave Twisters,2001,46,USA,7.2,521
The Round and Round,2002,131,USA,1.2,416
G,2002,97,USA,5.1,653
Hacks,2002,93,USA,5.3,116
The Waking,2001,97,USA,2.1,201
Altered Species,2001,91,USA,2.4,446
The Boys of Sunset Ridge,2001,90,USA,6,160
Love in the Time of Money,2002,90,USA,5.4,643
Fixing Frank,2002,103,USA,5.7,454
Green Card Fever,2003,100,USA,5.9,179
Onora il padre e la madre,2007,117,USA,7.3,94917
Bug Off!,2001,84,USA,3.4,174
Face,2002,89,USA,6.3,252
Figure in the Forest,2002,110,USA,6.2,442
Frogmen Operation Stormbringer,2002,90,USA,3.3,226
Get Well Soon,2001,95,USA,5.3,1094
Local Boys,2002,102,USA,6.7,861
"Mi Casa, Su Casa",2003,94,USA,5.2,512
Ricky 1,1988,90,USA,1.4,688
Super Sucker,2002,93,USA,4.4,865
Friday After Next,2002,85,USA,5.8,25170
Hansel & Gretel,2002,89,USA,4.2,1190
The Trip,2003,87,USA,2.6,136
Blind Spot,2002,94,USA,6,170
Buck Naked Arson,2001,85,USA,4.4,120
Fish in a Barrel,2001,85,USA,5,256
The Flats,2002,102,USA,6.1,252
Next Year in Jerusalem,1997,104,USA,6.2,104
The Keeper: The Legend of Omar Khayyam,2005,95,USA,6.4,657
Rent,2005,135,USA,6.9,48187
Robot in the Family,1993,85,USA,1.5,170
Role of a Lifetime,2002,98,USA,5.4,131
The Wackiest Wagon Train in the West,1976,86,USA,3.7,181
Austin Powers in Goldmember,2002,94,USA,6.2,192760
End of the Harvest,1998,53,USA,5.4,221
Personal Velocity - Il momento giusto,2002,86,USA,6.5,3471
Cose da maschi,2003,101,USA,5.6,16414
Il maestro cambiafaccia,2002,80,USA,3.4,21991
Black Out - Catastrofe a Los Angeles,2003,100,USA,3.5,464
Going Shopping,2005,106,USA,5.1,154
xXx,2002,124,USA,5.9,171591
Time Changer,2002,95,USA,5.2,2230
The Bog Creatures,2003,85,USA,2.3,332
Le donne vere hanno le curve,2002,90,USA,6.8,6955
The Chronicles of Riddick,2004,119,USA,6.7,212109
Kiss the Bride,2002,89,USA,5.4,1137
Inheritance,2004,89,USA,4.5,254
Little secrets - Sogni e segreti,2001,96,USA,6.4,3078
Brown Sugar,2002,109,USA,6.5,8321
Deuces,2001,90,USA,4,117
Just a Dream,2002,96,USA,6.1,312
Poster Boy,2004,104,USA,6.1,1302
Manito,2002,78,USA,6.7,539
Mr. Smith Gets a Hustler,2002,91,USA,4.7,205
Purgatory House,2004,97,USA,5.7,440
The Ring,2002,115,USA,7.1,315069
Shrek 2,2004,93,USA,7.2,410089
Laurel Canyon,2002,103,USA,6.4,15793
Auto Focus,2002,105,USA,6.6,13071
Beyond the Next Mountain,1987,97,USA,6.6,103
Cherish,2002,99,USA,6.7,2657
Lucky,2004,83,USA,5.4,443
The Movie Hero,2003,98,USA,6.5,771
Roger Dodger,2002,106,USA,6.9,16757
The Civilization of Maxwell Bright,2005,107,USA,6.4,492
Mucche alla riscossa,2004,76,USA,5.4,19812
Sex and the Teenage Mind,2002,91,USA,4.1,631
La regola delle 100 miglia,2002,98,USA,5.6,704
All the Real Girls,2003,108,USA,6.8,10206
Blood Lake,1987,82,USA,3.1,444
Bloodbath in Psycho Town,1989,87,USA,3.5,135
Invasion X,2001,93,USA,3.5,645
Fabled,2002,84,USA,5.2,209
The Frightening,2002,85,USA,3.2,567
Amore estremo - Tough Love,2003,121,USA,2.5,45680
Jersey Girl,2004,102,USA,6.2,62656
Leela,2002,97,USA,6.6,146
Dog Gone Love,2004,89,USA,5.3,162
A More Perfect Union: America Becomes a Nation,1989,111,USA,6.3,162
Mind Games,2003,96,USA,3.6,172
Timeline - Ai confini del tempo,2003,116,USA,5.7,59602
All Babes Want to Kill Me,2005,82,USA,4,1739
BachelorMan,2003,90,USA,4.5,415
The Biggest Fan,2002,93,USA,4.8,421
Black Wine,2005,88,USA,4.3,177
Deliver Us from Eva,2003,105,USA,6.1,6377
The Ghosts of Edendale,2003,90,USA,3.4,443
Visions of Sugarplums,2001,78,USA,2,158
Dark Warrior,2005,82,USA,3.3,242
Crazy Like a Fox,2004,98,USA,5.5,158
Hellbound Train,1930,50,USA,5.1,146
Jeepers Creepers - Il canto del diavolo 2,2003,106,USA,5.6,57297
Robot Stories,2003,85,USA,5.9,1377
State property - Sulle strade di Philadelphia,2002,88,USA,4.5,1879
Ten Tiny Love Stories,2002,96,USA,6.3,470
Il delitto Fitzgerald,2003,108,USA,7.1,22501
Design,2002,112,USA,6.2,123
Raising Flagg,2006,103,USA,5.4,316
Endangered Species,2002,94,USA,4.1,495
Hot Chick - Una bionda esplosiva,2002,104,USA,5.5,88605
Old School,2003,88,USA,7.1,211665
On_Line,2002,97,USA,5.3,521
Scorcher,2002,91,USA,3.6,1335
Sleepaway Camp IV: The Survivor,1992,70,USA,1.8,808
Sunstorm,2001,89,USA,3.5,210
Noon Blue Apples,2002,122,USA,4.8,104
The Business of Fancydancing,2002,103,USA,6.6,489
May,2002,93,USA,6.6,32534
Soft for Digging,2001,74,USA,5.7,512
Anacardium,2001,94,USA,6.9,134
La bottega del barbiere,2002,102,USA,6.3,29018
Obiettivo sopravvivere,2003,90,USA,4.3,855
Cabin Fever,2002,93,USA,5.7,73040
Changing Hearts,2002,92,USA,5.9,443
Drumline,2002,118,USA,5.8,32583
Horror,2003,77,USA,3.6,960
Six She's and a He,1963,72,USA,5.9,108
Love Thy Neighbor,2005,89,USA,3.5,121
Mango Kiss,2004,84,USA,4.7,422
Mona Lisa Smile,2003,117,USA,6.5,76236
Rolling Kansas,2003,89,USA,6.2,2232
Scannati vivi,2004,97,USA,4,1486
They Don't Cut the Grass Anymore,1985,70,USA,4.5,239
Weasels Rip My Flesh,1979,67,USA,3,362
American Splendor,2003,101,USA,7.4,47048
Terapia d'urto,2003,106,USA,6.3,200456
Charlie's Angels - Più che mai,2003,106,USA,4.9,119317
Evil Alien Conquerors,2003,89,USA,4.9,965
A Foreign Affair,2003,94,USA,6,1028
Un ciclone in casa,2003,105,USA,5.6,34433
Progetto Mindstorm,2001,96,USA,2.7,329
Funny Valentine,2005,90,USA,4.4,127
Sonny,2002,110,USA,5.6,3960
The Singles Ward,2002,102,USA,6.4,1314
Where's the Party Yaar?,2003,110,USA,4.9,998
Autopsy: A Love Story,2002,84,USA,3.3,198
Brother to Brother,2004,94,USA,7.1,1058
Amici x la morte,2003,101,USA,5.8,40829
Le divorce - Americane a Parigi,2003,117,USA,4.9,10887
Do It for Uncle Manny,2002,95,USA,5,134
Eden's Curve,2003,93,USA,5.3,394
Lizzie McGuire - Da liceale a popstar,2003,94,USA,5.5,35161
"No Pain, No Gain",2004,129,USA,4.4,3383
Along the Way,2007,111,USA,5.9,279
The Long Island Cannibal Massacre,1980,95,USA,4.6,182
The Lost Skeleton of Cadavra,2001,90,USA,7,4618
An Ordinary Killer,2003,113,USA,4,175
Prey for Rock & Roll,2003,104,USA,6.2,1891
Sex Court: The Movie,2001,95,USA,4.2,186
Shark Tale,2004,90,USA,6,163930
Shaye & Kiki,2004,96,USA,6.8,115
Sin - Peccato mortale,2003,107,USA,4.6,1756
Solaris,2002,99,USA,6.2,78140
Burning Annie,2004,95,USA,5.9,258
La 25ª ora,2002,135,USA,7.6,167876
Bobby,2006,117,USA,7,40767
Frog-g-g!,2004,80,USA,4.4,305
Interview with the Assassin,2002,88,USA,6.5,1744
I Gemelli del Gol,2003,92,USA,2.9,1204
Il sogno di Calvin,2002,99,USA,5.3,18656
Slammed,2004,99,USA,3.9,216
Wannabes,2000,110,USA,5.7,313
Debito di sangue,2002,110,USA,6.4,41405
The Case He Couldn't Crack,1981,70,USA,1.9,123
The Dogwalker,2002,99,USA,6.9,142
Extreme Dating,2005,96,USA,5.2,972
The Gatekeeper,2002,103,USA,5,210
Identità,2003,90,USA,7.3,222620
Paper Soldiers,2002,88,USA,5.5,1137
Tracks,2005,92,USA,5,266
A Mighty Wind,2003,91,USA,7.2,25591
Vampire Clan,2002,87,USA,4.2,818
The Violent Kind,2002,90,USA,3.3,228
Moving Alan,2003,85,USA,5.6,109
C.B. Hustlers,1976,85,USA,2.8,209
The Commission,2003,102,USA,5.5,115
Vizio di famiglia,2003,109,USA,5.6,4586
Master & Commander - Sfida ai confini del mare,2003,138,USA,7.4,198459
The Greenskeeper,2002,90,USA,3.2,639
Lotta di potere - Hitters,2002,88,USA,4.6,149
Holes - Buchi nel deserto,2003,117,USA,7,75840
Missing Brendan,2003,100,USA,6.3,121
Out of Step,2002,90,USA,4.9,100
Schegge di April,2003,80,USA,7,19895
Spanish Fly,2002,92,USA,6.4,118
Ho rapito Sinatra,2003,96,USA,5.6,648
Storm Watch,2002,100,USA,4.8,688
"Tattoo, a Love Story",2002,94,USA,6.7,476
10 Attitudes,2001,87,USA,5.1,274
Quantum Quest: A Cassini Space Odyssey,2010,45,USA,5.1,320
Bells of Innocence,2003,110,USA,3.2,752
Boys Klub,2001,96,USA,3.4,184
Il gatto... e il cappello matto,2003,82,USA,3.9,51054
Nursie,2004,96,USA,6.5,571
Back by Midnight,2004,89,USA,4.9,477
Black Cadillac,2003,93,USA,5.9,2804
Out of Time,2003,105,USA,6.5,56049
Paris,2003,98,USA,4.4,336
La giuria,2003,127,USA,7.1,89682
Hey Arnold! Il film,2002,76,USA,6,6400
Creature Unknown,2004,79,USA,2.9,420
L'ultima alba,2003,121,USA,6.6,111237
The Secret Lives of Dentists,2002,104,USA,6.3,3303
The Singing Detective,2003,109,USA,5.5,8107
Sucker Punch,2003,90,USA,3.4,129
Washington Heights,2002,89,USA,5.8,373
Ball & Chain,2004,90,USA,4.6,566
Baller Blockin',2000,54,USA,4.8,306
Benji: Off the Leash!,2004,97,USA,5,569
Break a Leg,2005,98,USA,5.1,253
Una settimana da Dio,2003,101,USA,6.8,365635
Claustrophobia,2003,79,USA,3.5,325
Constellation,2005,96,USA,4,538
Dallas 362,2003,100,USA,6.2,1105
21 grammi,2003,124,USA,7.7,221361
Anne B. Real,2003,91,USA,2.3,3601
Brivido biondo,2004,88,USA,4.9,17522
Surrender,2003,73,USA,3.4,153
La casa di sabbia e nebbia,2003,126,USA,7.5,64310
LolliLove,2004,64,USA,6.2,1348
Manhood,2003,82,USA,5.1,246
Terra di confine - Open Range,2003,139,USA,7.4,65567
Mi chiamano Radio,2003,109,USA,6.9,37674
Real Deal - Patto Di Sangue,2002,86,USA,4.6,110
Spider's Web - La tela del ragno,2002,88,USA,4.4,627
Spider-Man 2,2004,127,USA,7.3,532565
U-429 - Senza via di fuga,2004,94,USA,6,3845
Quel corpo di donna,1975,95,USA,5,175
Written in Blood,2003,91,USA,5.2,277
And Then Came Summer,2000,115,USA,4.6,422
Il mio amico a quattro zampe,2005,106,USA,6.3,10278
Cars - Motori ruggenti,2006,117,USA,7.1,357920
L'asilo dei papà,2003,92,USA,5.6,62578
For da Love of Money,2002,97,USA,4.5,285
The Hebrew Hammer,2003,85,USA,6.1,4587
Gli Incredibili - Una 'normale' famiglia di supereroi,2004,115,USA,8,642759
Nola,2003,97,USA,5.3,418
Rachel's Attic,2002,112,USA,3.8,129
Water's Edge - Intrigo mortale,2003,101,USA,5.1,649
Air Marshal,2003,90,USA,2.6,497
Alex & Emma,2003,96,USA,5.6,12863
The Cooler,2003,101,USA,6.9,32101
Thumbsucker - Il succhiapollice,2005,96,USA,6.6,20487
Young Black Stallion,2003,50,USA,5.6,1018
Alamo - Gli ultimi eroi,2004,137,USA,6,19363
Big Fish - Le storie di una vita incredibile,2003,125,USA,8,408409
Brothel,2008,96,USA,4.1,224
The Day After Tomorrow - L'alba del giorno dopo,2004,124,USA,6.4,408418
Elf - Un elfo di nome Buddy,2003,97,USA,6.9,211602
The Guys,2002,84,USA,6.3,1229
Contratto d'Amore,2003,101,USA,5.6,9142
Man of the Year,2002,92,USA,5.5,205
Nutbag,2000,80,USA,3.1,485
Particles of Truth,2003,101,USA,6.8,562
Two Days,2003,87,USA,6.3,896
Warrior,2002,97,USA,4.1,139
The Big Empty,2003,94,USA,6.1,3815
Speck,2002,79,USA,3.5,233
Centipede!,2004,93,USA,3.1,353
Cremaster 3,2002,182,USA,7.1,1358
30 Days,2006,93,USA,4.4,158
The Deviants,2004,80,USA,5.1,283
Piccole bugie travestite,2003,90,USA,6.5,1944
Quel pazzo venerdì,2003,97,USA,6.2,122538
Honey,2003,94,USA,5.4,42827
Hey DJ,2003,86,USA,6.5,502
Northfork,2003,103,USA,6.3,5239
I Love Your Work,2003,111,USA,5.3,1777
Levelland,2003,107,USA,5.4,139
Loving Annabelle,2006,77,USA,6.3,11733
Midnight Mass,2003,98,USA,2.4,407
A Midsummer Night's Rave,2002,85,USA,5.1,479
Minimal Knowledge,2002,94,USA,4.5,102
Papi chulo,2003,80,USA,4.8,3887
Melvin Goes to Dinner,2003,83,USA,6.8,2616
"Pimpi, piccolo grande eroe",2003,75,USA,6.2,6758
Project Nightmare,1987,74,USA,4.4,103
Purgatory Flats,2003,102,USA,5.4,382
Sam & Janet,2002,90,USA,3.8,212
Shade - Carta vincente,2003,101,USA,6.3,11991
Stealing Candy,2003,80,USA,4.3,603
Non aprite quella porta,2003,98,USA,6.2,128106
Appuntamento a Wicker Park,2004,114,USA,7,52235
Winnie the Pooh: A Very Merry Pooh Year,2002,65,USA,6.8,1896
Spinning Boris - Intrigo a Mosca,2003,112,USA,6.6,1018
April's Shower,2003,100,USA,5,669
Artworks,2003,93,USA,5.1,312
Curse of the Forty-Niner,2002,86,USA,3.7,731
Dickie Roberts - Ex Piccola Star,2003,98,USA,5.6,13477
Head of State,2003,95,USA,5.5,17935
Hunting of Man,2003,88,USA,2.1,586
"Jesus, Mary and Joey",2005,105,USA,4.8,346
Lethal Force,2001,70,USA,6.2,152
Luster,2002,92,USA,5.5,1087
El padrino,2004,128,USA,4.9,684
La maledizione della prima luna,2003,143,USA,8,1001260
Pledge of Allegiance,2003,84,USA,4.6,155
Rhinoceros Eyes,2003,92,USA,6.5,662
Roxanna,1970,51,USA,4.6,211
Speakeasy,2002,86,USA,4.6,171
The Tollbooth,2004,85,USA,5.4,133
Her Name Is Carla,2005,85,USA,5,178
'77,2017,113,USA,6.1,304
Biker Boyz,2003,110,USA,4.7,12621
Camp Utopia,2002,80,USA,3.1,120
Civil Brand,2002,95,USA,5.2,683
L'invidia del mio migliore amico,2004,99,USA,4.8,29593
Cani dell'altro mondo!,2003,88,USA,5.1,4014
In My Sleep,2010,104,USA,5.5,1952
Intoxicating - Quando il vizio di distrugge,2003,109,USA,4.8,350
La gang del bosco,2006,83,USA,6.7,156530
The Road Home,2003,104,USA,5.7,389
Secondhand Lions,2003,111,USA,7.5,51433
The Singing Forest,2003,72,USA,1.8,517
La donna perfetta,2004,93,USA,5.3,59624
Uncle Nino,2003,104,USA,6.6,730
FBI - Protezione testimoni 2,2004,98,USA,5.5,53456
Squadra di ciclisti,2005,79,USA,3.1,142
Catwoman,2004,104,USA,3.4,108935
Reeseville,2003,99,USA,5.1,156
Coraline e la porta magica,2009,100,USA,7.7,190867
Dirty Love: Tutti pazzi per Jenny,2005,91,USA,3.6,6744
Dry Cycle,2003,89,USA,5.2,109
Funny Ha Ha,2002,85,USA,6.5,2465
Il tesoro dell'Amazzonia,2003,104,USA,6.7,99864
In Your Face,2002,105,USA,5.1,101
King of the Ants,2003,102,USA,6.2,3869
Love Object,2003,88,USA,6.3,3365
Malibu's Most Wanted - Rapimento a Malibu,2003,86,USA,5.2,18345
My Suicidal Sweetheart,2005,115,USA,5.5,294
Second Best,2004,86,USA,6,415
