title,year,duration,country,avg_vote,votes
The Rack Pack,2016,87,"USA, UK",7.1,1115
Bone Tomahawk,2015,132,"USA, UK",7.1,82432
Il sapore del successo,2015,101,"USA, UK",6.6,103986
Alice attraverso lo specchio,2016,113,"USA, UK",6.2,89612
Keeping Rosy,2014,89,"USA, UK",6.3,879
L.A. Slasher,2015,84,"USA, UK",3.3,742
Knight of the Dead,2013,82,"USA, UK",2.7,564
Old Man & the Gun,2018,93,"USA, UK",6.7,38743
Coherence - Oltre lo spazio tempo,2013,89,"USA, UK",7.2,103653
Dark Summer,2015,81,"USA, UK",4.2,3126
The Guest,2014,100,"USA, UK",6.7,88843
Before I Disappear,2014,93,"USA, UK",7.2,9034
Survivor,2015,96,"USA, UK",5.6,30618
Followed,2015,83,"USA, UK",5.1,240
Mermaid Down,2019,91,"USA, UK",5.9,4094
The Doo Dah Man,2015,92,"USA, UK",6.3,117
La truffa è servita,2018,90,"USA, UK",4.1,4597
Il ritorno di Mary Poppins,2018,130,"USA, UK",6.7,73598
